Tweets,Likes,Retweets,Sentiment,User,Location
"@GothicNeo @MizDanaClaire They did, while many are eager to start another war be creating a no fly zone in Ukraine.",0,0,1,Ash of War: Vocal🏳️‍⚧️🐄,"Seattle, WA"
"Every society is a few missed meals from revolution.

Also… Grow. Food. 

https://t.co/vCOFOoFmaA",0,0,-1,California National Party (CNP),California Republic
Abiy Ahmed’s 'call for restraint and diplomacy to end the war in Ukraine might have attracted more attention if the Ethiopian PM hadn’t stained his laurels with the blood of his own people' @UNGeneva @UNHumanRights @IntlCrimCourt #TigrayGenocide https://t.co/Y1v2MxzLCH,1,0,1,That Tigrayan Girl,Australia
"Η ουδετερότητα του Ορμπάν έχει εξοργίσει πολλούς. Η Ουγγαρία είναι η μόνη χώρα από τα γειτονικά της Ρωσίας μέλη της ΕΕ που αρνείται να στείλει βοήθεια στην Ουκρανία ή να επιτρέψει την μεταφορά βοήθειας από τα σύνορα της χώρας του.

https://t.co/flJbbVveVs",0,0,0,Michael Sidiropoulos 🇬🇷 🇨🇦 🇺🇦,"Athens, Toronto"
"👇🏽👇🏽Nevermind Ukraine, people. What is happening to YOUR jobs, to YOUR freedoms, in YOUR country??

Meanwhile, no papers, id at all needed to cross the US southern border. Welcome all 3rd-world criminals, terrorists, Chinese Fentanyl peddlers, dirty-bomb mkers https://t.co/s5hhTn8p0M",0,0,1,blimey,
"I would say: if Ukraine stops fighting, Ukrainians will be called to russia military service, and tomorrow there will be a new war in Europe https://t.co/nJMESYeWus",0,0,1,Michael UA,"Lviv, Ukraine"
"#Russian missiles has just bombarded Lviv. One more proof that all Ukraine is in danger. People spend hours in bomb shelters, even in the cities that are thousands kilometres away from the battlefield. https://t.co/q51lfMmbre",0,0,1,Ksenia Iliuk,
The workforce crisis. Too late for more diagnosticians -unless they come from Ukraine… https://t.co/dpeQ9bMlLe,0,0,1,Roger Burns,"Haverfordwest, Pembrokeshire"
"@abhi_210 @SamRamani2 If India does so, she will eventually end up fighting for her life just like Ukraine--but without any help from Westerners.
Good luck with that!
Putin--like the tsars and dictators before him--has no allies, only vassals and lackeys.",0,0,1,Facts In Evidence,
@illyricum910 https://t.co/L0FoKaA5sM,0,0,0,Deep State 🇺🇦,
A real #President. #PresidentBiden #US #PutinIsACoward #RussiansAreCowards #Russians #PutinComeOutOfYourBunker #WhatAreYouAfraidOf #Ukraine #StandWithUkraine #StandWithNATO https://t.co/E3qOIlgpIb,0,0,1,Crystal Davis 🌻,East Coast USA
"@JuttaUrpilainen @EU_Commission @FoodSystems @WFPChief Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent #Ukraine !
#banrussia",0,0,1,Pavlo🇺🇦,Україна
"So the BBC are sending a war correspondent to the ""front lines"" 4 weeks after the ""war"" began, why now? 

Could it be Russia have achieved their objects and are now withdrawing?

And will claim the Ukraine won?

#",0,0,0,Artist formerly Known as Shaggy 🇾🇪,"NW, England"
Indian broadcaster rips YouTube for bias in blocking its channel https://t.co/J1hVqWv7iL,0,0,0,#SaveSheikhJarra #SaveSilwan #BDS #Yemen #Kashmir,
"It is strangely fitting that the @jonstewart of Ukraine is dismantling Tucker Carlson’s bullshit again. 

How many lives could’ve been saved if Tucker disappeared in 2006 &amp; stayed that way? 

https://t.co/XsiLn9egCz https://t.co/INuF9U3hb4",0,0,1,Jessica Kia,"New Jersey, USA"
"🚨🇷🇺🇺🇦 ALERTE - La #Russie a frappée un dépôt de carburant à #Lviv, en #Ukraine. (Ssirgany) #UkraineUnderAttack #UkraineRussia #UkraineWar https://t.co/Exo3LGgbOn",0,0,0,Speed Actu,France
@q4XhkwnVqXMAOHv Брехня,0,0,0,WarriorCat,
"В Бишкеке прошла акция солидарности с Украиной. В митинге участвовали несколько десятков человек. Он начался с минуты молчания по погибшим в войне. «Украина борется и за свою, и за нашу свободу», — заявил один из выступающих: https://t.co/w6RYfDwgwO https://t.co/isiL5SZQNS",0,0,0,Activatica,
"@mod_russia Employees of this #Ministry. You are serving a criminal regime that is causing #WarCrimes in #Ukraine. Lay down your duties, as blood is already on your hands. Keep that in mind while walking on our streets.",0,0,-1,Aurelius,
#Ukraine #Russian #NATO #USA https://t.co/fg5R0C2MFk,0,0,0,allahu akbar 313,
"Cruise Missiles Launched From Russian Warship Towards Ukraine 

#cruisemissiles #RussiaUkraineWar #RussianUkrainianWar #Ukraine #UkraineUnderAttack #RussianWarship #BlackSea 

https://t.co/paOTy2ANGk",1,0,0,MannCaves,
When will @KingSalman @kbsalsaud MBS @MohamedBinZayed stop letting USG sell U weapons to kill yr own people in #Yemen @KremlinRussia_E @HHShkMohd @HamdanMohammed @antonioguterres @IntlCrimCourt @Pontifex @PatriarchKirill are Ukraine Children’s lives better than #Yemenis Children? https://t.co/gJTu6RurHm,1,1,1,Bibi Spielberg,
"@BFMTV Il n'est absolumt pas en perte de vitesse,ds QOTMII il a tjrs partagé la 1ere ou 2nde place avec Macron qui avait juste fait une remontée au début de la guerre d'Ukraine.
QOTMII  du 26.03.2022 :
Macron 20.7
Zemmour 19.3
MLP 14.3
Melenchon 13.2
Pecresse 9.5",0,0,0,Katell HENRY,"Cherbourg-en-Cotentin, France"
"@LeonLeoParty It's weird to me... with all the evidence on Hunter in Ukraine, I'm half expecting Joe to do a 180 and declare war on Ukraine to bury the evidence",0,0,-1,Rib Hickslur,Tejas
"Bravo  @jeanlassalle  encore un politique   avec @dupontaignan   qui ose dire les choses sur @EmmanuelMacron qui se planque pour débattre et qu'il ne se mêle pas de l'Ukraine , Nathalie St Cricq et @LeaSalame  au bord de l'infractus ! 
https://t.co/dSmB9cVQIM",0,0,0,Camille DESMOULINS -INFO DES JAUNES et du PEUPLE,"Languedoc-Roussillon, France"
"#Ukraine Russian troops have once again employed heavy artillery to strike settlements outside Ukraine’s capital Kyiv. Casualties have been reported, including a child.

Continue reading at https://t.co/55knGwsOFh | 10z viral",1,1,-1,Toxic Agenda,
@BillyRay5229 @RepSwalwell I didn't realize how pro Nazi Dems are. I should have figured since they started the KKK. This represents the Azov Battalion of Ukraine. Does it look familiar in any way at all? https://t.co/M0lRrEbDNG,0,0,1,Lewis Ambrose,
"Day 5: Russia disclosed documents with US officials signature &amp; stamps

Day 6: US admitted that they have funded and taken part in bio-labs activities in Ukraine, and said that if  there are biological attacks in Ukraine, it is Russian's responsibilites.",0,0,0,Well Gibson,
@Caucasuswar Ukraine war Bayraktar song Filmed each one they destroyed from every possible angle and in different places. We still have the music: https://t.co/hGSuYRBUve,0,0,0,Ukraine war,
#Ukraine: 乌克兰陆军第 25 空降旅声称袭击了俄罗斯 BMP。正如你所看到的，使用了 ATGM，很可能是标枪。https://t.co/WSbKI4oRs6,0,0,0,看看点点,
"3 explosions reported in the @Ukraine's western city of Lviv. City mayor Andriy Sadovyi confirmed #Russians launched missiles on #Lviv.

Pray for #Ukraine️ 🇺🇦

#UkraineWar #UkraineRussiaWar #UkraineUnderAttack  #RussianWarCrimes #RussiaInvadesUkraine #RussiaUkraineWar #Russian https://t.co/4yvMe0DreT",0,0,1,🇺🇦 The Ghost of Kyiv 🇺🇦,
"Metabiota &gt; “e-mails involving Hunter Biden’s dealings in Ukraine, first obtained by The Post and initially reported on by The Daily Mail Friday.” https://t.co/hVBDMAoWmW",0,0,1,AbsintheSpirit,Sao Paulo / Brazil
"@polenz_r Wie wäre es , wenn man die ganzen Pro Ukraine Demonstranten aus ganz Europa +die dazugehörigen Staatschefs voran nach Kiev reisen lassen würde?? Leute, denke, DAS würde mehr bringen ,als wie jede Waffenlieferung und würde den Zusammenhalt von Europa gegen Russland zeigen!!",0,0,0,Ceberus,Deutschland
@ukraine_world There were as many anti-Putin signs at Berlin's climate strike as there were anti-climate change ones. We still stand with Ukraine.,0,0,1,"jędrek kostecki, interneciarz.",Berlin
@annabirdfr @euromove @MayorofLondon The world stands with Ukraine,0,0,0,Sneaky Pete,"Coral Springs, FL"
"@guardian The most scoundrel, faker and liar mass media can't keep quiet.  Who had laboratories with dangerous pathogens in Ukraine, confessed by the undersecretary of state, Victoria Nuland, when asking Zalensky to close them, is the USA..",0,0,-1,Bora Botá Pra Correr a CANALHA!,"Rio das Ostras, Brasil"
"@rebartist @KyivIndependent @queerthoughts I care deeply about the Russian people, and I am sure they will drop the dictator shortly, and free Ukraine remains. And will remain. And Putin will not.

 Guaranteed",0,0,1,kevin russell,
"@TayeKidisii @blantdaddy3 Yeah life was horrible under him, low gas prices, no inflation, high stock market, nobody was bombing Ukraine, peace was even made with North Korea, how did we all survive, beyond me",0,0,-1,Galinka,
"@HeerJeet The crisis in Ukraine continues to underline the fundamental racism in refugee policy in nation after nation. 

https://t.co/pObZFSnIHr",0,0,0,Michael Nabert,
Wat #staatsterreur doet! #WarCriminalPutin #Ukraine👇👇 https://t.co/ciL6VZQFZg,0,0,0,Panodrama,Tiel Niet roomser dan de Paus!
@capitalisttrev1 He'll be reminding us about how he stood on a cardboard box for Ukraine 🤣,1,0,0,Naughty Nigel 🇺🇦🇬🇧🇺🇳🏆,GREAT Britain
@Mert67096982 @SummerS94567271 @MilosGM032 @AlenaKoval @ArmedForcesUkr So you have weapons to one and don’t punish Russia? So you support them financially basically. If Ukraines die who’s going to use those drones? If Russians die in Ukraine who is going to use the money?,0,0,0,Ed Ducate,"Brooklyn, NY"
"Defense and security expert Mark Voyger says Putin will not give up on his war in #Ukraine until he has achieved something that ""looks like a victory"" because he has to ""save face before the Russian public"".
https://t.co/JzA1MoDOai 01",0,1,0,Tomthunkit™,In Your Mind Now
"#UkraineKrieg Liveticker: Offenbar Rückschlage und Fortschritte für Putins Truppen - Deutschland plant Abschied von russischem Gas Mitte 2024 - Konsumentenvertrauen sinkt in Italien deutlich - 3,7 Millionen Flüchtlinge haben Ukraine verlas https://t.co/tJcZOFSixp",0,0,0,My Comfor,deutscher Sprachraum
"Explosions are seen in #Lviv city, Ukraine. 

#live #UkraineConflict 

Source: CGTN https://t.co/XFSxntTZj2",1,0,1,CGTN Europe,Europe
#Telegram: Das gefährlichste Unternehmen der Welt? (via @SZ) https://t.co/eP4H8wrOnT,0,0,0,Felix Luderer,"Potsdam, Deutschland"
"Instead of a tip, please consider donating to my Gish Team’s Ukrainian relief charity page: https://t.co/XzOhSZADWp",0,0,0,❄️lizlee❄️,
@ArmedForcesUkr Do not mess with the Mums. Glory to Ukraine,0,0,1,Ms C Donoghue,
@bad_immigrant What they're saying is just a giant middle finger to all the anarchists dying for the free world right now in Ukraine. Disgraceful as fuck.,0,0,1,Miiaboo,"Helsinki, Finland"
@BBCNews Ukraine war Bayraktar song Filmed each one they destroyed from every possible angle and in different places. We still have the music: https://t.co/hGSuYRBUve,0,0,0,Ukraine war,
"A bold prediction by Jude Blanchette @CSISFreeman:  as the Ukraine war worsens, China will step up support of Russia, even sending military material. I think this would be counterproductive but I might be thinking too rationally.
https://t.co/gTyNIrjBfR",0,0,1,Ian Johnson,New York City
This is amazing but you can’t now tell me #AllLivesMatter after seeing the out pouring for #Ukraine vs #TigrayFamine #TigrayGenocide where over 500000 people have died and over 120000 women have been raped. Not to mention the complete blackout and siege enabled by our gov. https://t.co/tVCuX6DKXT,0,0,1,Fay,
"@CryptoGemsCom @saja_token
2022 is ours #cryptosafety 
Utilities : #sajaseal #sajainsight
#sajadefender
Charity : #lrf #ukraine 
community : #sajaarmy 🦁
Website : https://t.co/9t4c0lislS 🌐
TG : https://t.co/KOWMxfGBys 💬
Dext : https://t.co/NOX6XM7EeL
#eth https://t.co/QOPyNXgAnd",0,0,0,wayne_SAJA_LFC_X6,United Kingdom
"coba baca press statement nya di sini 
https://t.co/aCl5drgith",1,0,0,agaa 🔫,"pronoun: he/him, she/her"
"Instead of Hollywood fretting about a red carpet cat walk, they should focus on the red blood of innocent women and children and aged running down the streets on Ukraine.  Boycott OSCAR ceremony.  Such frivolity amidst enormous suffering and loss of life.",1,1,1,Alexander M. Santora,
"The Russian government says Defense Minister Sergei Shoigu is not having serious health issues, but other reports say he had a heart attack after a confrontation with Russian President Vladimir Putin.https://t.co/W4335rW4rK",6,0,-1,Newsmax,United States
#Ukraine https://t.co/nokHyxmwRk,0,1,0,Artem Kalabukhov,"Ottawa, Ontario"
"@FiredStaffer Fuck Putin, but I also don’t believe the propaganda sold to you by a state that literally incorporated a few thousand strong Nazi battalion into their national guard who terrorized Romani citizens of Ukraine.",0,0,-1,Dokule 🌹,"Denver, CO"
"#Russian #gas that has #powered their #economies for decades, as #Moscow #presses on with its #brutal #war in #Ukraine",0,0,-1,Salina Reddy,Earth
#ukraine https://t.co/tSfqwUmI4v,1,0,0,Redwoods,
"@MelnykAndrij Was bilden Sie sich eigentlich ein, von Deutschland ständig Dinge zu fordern?? Hat der deutsche Botschafter in der Ukraine jemals Forderungen gestellt? Sparen Sie sich Ihre arroganten Forderungen. Wir sind keine ukrainische Provinz und definitiv nicht für Ihr Land verantwortlich",0,0,0,TomTom78,
"@stephen_taylor Cheap shot, earth hour isnt new. And theres no mention of Putin or Ukraine in this. I appreciate your opinion but this is willfully dumb.",0,0,1,Anthony 🇨🇦🗺️,"Woodstock, Ontario"
@BobVan45 @KarilynGiven @ACTBrigitte First the warmonger comment. Anyone that knows me knows that I fucking hate war. Ukraine isn’t the aggressor. I’m all for defending yourself it attacked. This is an ad hominem attack.,0,0,-1,Morpheus Oneiros 🇺🇦 —🖕🇷🇺,The Dreaming
"‼️Today, Andriy Tsaplienko, a well-known journalist who’s been covering Russia’s war against Ukraine for many years, along with the media team of the Turkish TRT TV channel, has come under enemy fire and unfortunately, Andriy got injured! https://t.co/ZnGCtZ5bSc",0,0,0,KarmA🇬🇧🇺🇦💛,(Munich) Germany
"@OliverVarhelyi Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent #Ukraine !
#banrussia",0,0,1,Pavlo🇺🇦,Україна
".@coopuk stands in solidarity with the people of Ukraine and is supporting the @decappeal Ukraine Humanitarian Appeal. They're matching customer and member donations to the appeal up to £100k. 
You can donate in store, by text or online: https://t.co/Yf9odcP5Zs https://t.co/aZ8BIY01gD",0,0,1,Sam Queen CoOp MP,
"Ukraine confirms plot to assassinate Zelenskyy following UK warning
https://t.co/5kEd5TRBnE",0,0,0,Gbetu Tv,Nigeria
"@aajtak @gauravcsawant Puts us.
US @POTUS #NATO will fight the battle of 3rd World War with Ukraine and NATO countries
India wants world peace
Because India does not want to see the destruction of other countries.
#PMOIndia @PMOIndia @narendramodi #UkraineRussiaWar #USA @KremlinRussia_E #Russian @cnni",0,0,1,Baedin UK,"Shimla Urban, India"
@LordCl18318118 Shocking I don’t believe they are Ukraine 🇺🇦 the men can’t leave they are expected to fight,0,0,-1,william johnson,"Stockton-on-Tees, England"
"@Charles83230639 I think it’s a pro Ukraine demo. Nobody (other than Putin - &amp; I don’t think he anticipated the fight) wanted war, but it’s what 🇺🇦 have been forced into &amp; they have to win (if you can call what they’re going through winning 😔)",0,0,1,Lady Gytha Ogg 🕯 🇺🇦🐟 #dogooder 🌻 #notmypm🎪🕷,"East Midlands, England"
"@LaurisZalans Every day, people in Ukraine die as a result of Russia's war. Instruct your supporters to lobby your government to make trucking across the border illegal and to stop transferring Russians.",0,0,-1,Nastia Artemenko,
"Opération humanitaire à Marioupol, achat de gaz groupé... Ce qu'il faut retenir des annonces de Macron à Bruxelles.
#Russie #Ukraine #Marioupol #EmmanuelMacron #Macron #Bruxelles 
https://t.co/XZOYCupNM4",0,0,0,The-best-man-57,"Metz, France"
"Sane strategic intelligence analysis Pass it on! @JohnMearshimer lecture Why is @Ukraine the West's Fault Sept 25 2015 University of Chicago @Russia #Russia @CIA @UnitedStates #UkraineCrisis @Poland @johnpilger @LastWeekTonight @joerogan @TheGrayzoneNews
https://t.co/1o9hQdgX5s",0,0,0,Ellen Corley,Chicago
@Kateryna_Kruk So very sorry. Gos bless all the brave souls in Ukraine.🇺🇦🙏,0,0,1,PS,United States
@BakerSevenZero @RWApodcast this is propaganda from russia.  The truth is Ukraine has already retaken Crimea and the entire Donbass.  They are now 100m towards Moscow.,0,0,-1,Inspector Facts,
"@caitoz It’s more than a proxy war, if NATO wins Ukraine it’s curtains for Putin and Russia’s independence. Either NATO will be choosing his replacement and paying him - much like Zelensky - or they will get someone who told Gorbachev the US was tricking them &amp; wont acquiesce like Putin.",0,0,1,Svelte Catonator,Brighton
"@joncoopertweets I share the same Ukrainian heritage. My maternal great grandfather, grandfather &amp; one brother fled Ukraine to the U.S. bc of Jewish persecution. His mother and sister were not so lucky. His 2 other brothers got on a ship 2 Palestine but was to Argentina.",0,0,1,“And justice for all” 🇺🇸,
"Chinese President Xi Jinping urged the international community to “make genuine efforts to promote peace talks” when dealing with the Ukraine crisis, calling to “create conditions” for a political settlement of the matter. Find out more. https://t.co/8R1vWe49Rz",2,2,1,CGTN America,"Washington, DC"
Russia-Ukraine war latest: US offers Ukraine military support as Lviv hit by missile strikes – live https://t.co/X73Zq4dS4k,0,0,1,James E Hamilton,"Pembroke, Ontario, Canada"
Everyday's life in a bunker #KyivNow #kyiv #Ukraine #UkraineUnderAttack #RussiaUkraineWar #war https://t.co/pFGfFykWPo,0,0,-1,Sebastian Plocharski,Glasgow
"@deweycocks1 @ukraine_world Lol no, you’d have them breed and take over.  You don’t let out non native animals into the wild",1,0,1,TreasureHunt2020,
"☀️Bel après-midi devant le square de la #roquette pour vous inviter :

🔵 Mardi 29/03 à notre café citoyen  sur l’ #Ukraine à 19h à Art&amp;Thé, 168 rue de la roquette #Paris11

🌹 Dimanche 03/04 au grand meeting d’ @Anne_Hidalgo au cirque d’hiver

#Presidentielles2022  #LeBonDéputé https://t.co/UcEaGY8I7e",2,1,1,Luc Lebon,
Proud of #London that is standing with #Ukraine as it stood against the Iraq war. https://t.co/ElSbNOa65h,1,1,1,Nervana Mahmoud,"England, United Kingdom"
There are more Nazis in Ukraine than the entire United States yet some would argue it doesn’t matter over their while it’s RED ALERT. Here.,0,0,1,Mr.,Classified
"@JackBla73765917 Und wieder Mal ein Fall von ""Laternen-Selbstjustiz"" in der #Ukraine. Wie viele habe ich davon schon gepostet? Ich kann sie schon gar nicht mehr zählen. Eine sehr verbreitete Praxis in der Ukraine, zur Bestrafung von Dieben etc. https://t.co/GMcT1smELH",0,0,0,Bećirović Vanja,Hrvatska/Hercegovina/Berlin 
@annaefoster @annaefoster Stop working as a spotter for ☠️Putin's army☠️ #Ukraine #StopRussia #OpRussia #Anonymous,0,0,0,Live,
@KyivIndependent @sharethis #usa #eu @nato R the real #WarCriminals #barbaric #murders in #africa #iraq #libya #Afghanistan #Syria #yemen #nazi @EU_Commission #racist #Ukraine #soldiers use #nazi #symbols #FarRight #West #kills #millions all over  #world @HRW @amnesty @unicef #DoubleStandards,0,0,1,I AM H,London- East End
@DimaZeniuk @FedorovMykhailo @elonmusk @SpaceX @Tesla @PPathole @billhuang688 @WholeMarsBlog @RationalEtienne @1stMarsColonist @daelmor @SirineAti @Inelonwetrust__ @Kristennetten @EvaFoxU Very soon #Putin will declare #ElonMusk a terrorist for his starlink support for Ukraine,0,0,1,Adebayo Itunnu,Renewable
https://t.co/nQzeSh9FLl,0,0,0,Ferry ( #StandWithUkraine ),
@jin_chohan I'm really feeling for the people of Ukraine at the moment.,0,0,1,Orchard Road,"Dudley, West Midlands, England"
"@AbsoluteChelsea @SkySportsNews Victor Moses is a lieutenant Colonel in the invading Russian forces in Ukraine, only logical explanation",0,0,1,super6'2,Lagos
@joncoopertweets Not really. I wish that he had lived a long peaceful life inside his own country under a decent “ruler” and never been a soldier in Ukraine.,0,0,1,Ellen McFarland,"Small town, RW Texas"
"Biden set to give major speech in Poland; says Putin was counting on being able to divide NATO https://t.co/jZYf5qsW44 @MSNBC @CNN  Explosion in Lviv is important/must be reported BUT must media focus exclusively on it instead of Biden meeting w/ Duda, Jose' Adreas, Ukrainians?",0,0,1,Anne Mannone,
"@avalaina I wish and pray for brighter and warmer summer after this fragile Spring gone. Fragile, hollow and weak is Putin’s egocentric mentality which will burn himself and than Ukraine and Russia will live in peace.",0,0,-1,Tseten Tashi,"Toronto, Ontario"
"Putin is decimating Ukraine to bring the country to its knees.  They will fight to the end.  There has to be a place in hell, at the bottom of that underworld, for a man like Putin.  God Save Ukraine. #GodSaveUkraine",0,0,0,Babzie,no location
@uzuibhunu @WSJ https://t.co/moAIFJ38US,0,0,0,T£€W#¥,"Victoria Island, Nigeria"
"Pour les lâches , scandalisés de ce qu'il se passe en Ukraine. https://t.co/941pcHOjOZ",0,0,0,Ph Fran,
"Puts us.
US @POTUS #NATO will fight the battle of 3rd World War with Ukraine and NATO countries
India wants world peace
Because India does not want to see the destruction of other countries.
#PMOIndia @PMOIndia @narendramodi #UkraineRussiaWar #USA @KremlinRussia_E #Russian @CNN https://t.co/XSHQA3XKQf",0,0,1,Baedin UK,"Shimla Urban, India"
"Пленные военные рф 
#Ukraine https://t.co/XEewb5q83z",0,1,0,Дерзкий Шевченко,Ukraine
"I'll be joining Ukraine 24 TV at 1pm ET to discuss Biden's trip to Poland. Excited (and a bit nervous) to make my Russian-language media debut 👀

Watch live here: https://t.co/12zvALiIYW",1,0,1,Andrew D'Anieri,"Washington, DC"
"@s_florib @lapatina_ This SO-CALLED nationalism brought numerous catastrophic War in Europe.
The same nationalism that now Russia is trying to fueled up it's nation with that bring itself in War with Ukraine. The same nationalism that Brought Nazism, Fascism to European land.",0,0,0,Arka Tripura,
"I paid over $80 to fill up my gas tank GLADLY. I’d pay $120 GLADLY. People in Ukraine are paying with their homes, economy, lives, and children’s lives. I’m paying in $. They’re fighting a war so I can be free. If you’re complaining about gas prices, you’re a straight up coward.",1,0,1,Vin Vashishta,Reno
"Former @AnthDurham1 phd student @peasantpedant on the war in Ukraine, and the political insights afforded by ethnographic fieldwork.  asmahttps://www.theasa.org/publications/asaonline/articles/asaonline_0111?fbclid=IwAR1f0cwVFOzIzbkBQZP1rAhLl5eePsm0tyw85kqubU95WW0NlI8L6XRU890",0,0,0,Hannah Brown,
"On ne peut jamais faire confiance aux Russes, ils disent se concentrer à l'est pour les villes du Donbass et de Dontesk puis frappent à l'ouest à 70 km de la Pologne ! : Lviv frappée, Biden rencontre des ministres ukrainiens: https://t.co/6T64phkfkH",0,0,0,Mdawinno,
"@ChrisVanHollen @POTUS Ukraine needs a humanitarian airlift to save and protect the lives of children, civilians.  Thousands of people die in Mariupol alone. Please help stop the humanitarian catastrophe in Ukraine. #SafeAirliftUkraine #ProtectUASky #GenocideOfUkrainians",0,0,0,Мирослава Колесник,
'Isn't enough space' @MayorofLondon  Sadiq Khan will not take in refugees as Hundreds march for Ukraine https://t.co/oRc2pxvLVg This just about sums up the grandstanding prick. All mouth No Action! just fake PR to divert from his epic failure as Mayor &amp; calls for him to resign!,1,0,-1,Sue Mitch,
@FanOfCosas @JarOfCards What are you doing to help Ukraine and Ethiopia right now? Or do you not have basic human empathy??,0,0,1,MeeDee,
Toughen Ukraine with this awesomely stacked Humble Bundle https://t.co/qfOnreZrlU,0,0,1,Global Business Line,"Bengaluru, India"
"@SKyriakidesEU @EU_Health @EU_Commission Stop any traffic of goods and transport from/to the russian federation. Show your support in actions! This step will help russians understand that all people are united in their support for peaceful and independent #Ukraine !
#banrussia",0,0,1,Pavlo🇺🇦,Україна
WWII created generations of trauma in their families. They fear war will do the same in Ukraine. https://t.co/QmIL2fvk6O,0,0,0,Jacqueline Phillips,
weils dann ohne ukraine weiter mochen,0,0,0,Niklas Zeisel,"Wien, Österreich"
"@colonelhomsi l'Ukraine va faire quoi avec cette somme? l'Ukraine est déjà par terre , on ne voit plus son gouvernement et le président, ils vont utiliser ça comment?",0,0,0,Didigaba,
https://t.co/LQb5zpv8Ww,1,0,0,Naji Khawaja,"Queens, NY"
"If @NATO is avoiding conflict with Russia in @Ukraine, for humanity @UN we need an International Peacekeeping mission in @Ukraine now. If Putin can declare peacekeeping in the Donbas region, the world can declare the same to protect @Ukraine 
#UNPeaceKeeping4Ukraine",0,0,0,"Banks O., Ph.D. 💭",Canada
@SmoothRegulator @Soil1s4Future @DrProudman Wouldn’t have war on Ukraine in the first place without the overabundance of the masculine in positions of power.,0,0,1,Lucinda Newcomb,"Los Angeles, California"
"Explosions are seen in #Lviv city, Ukraine. 

#live #UkraineConflict 

Source: CGTN https://t.co/8H0m0IvufR",0,0,1,CGTN Europe,Europe
"Russian Nazis destroy memorial plaques
#Ukraine #NoWarInUkraine #Terrorists #StopRussianAggression https://t.co/rsAKNfP3dv",0,0,-1,Тина,Украина
"@Zungi @vartan84 @CavidVeliev @shafiyev_farid even the iranians sold you out, by allowing the corridor to go thru iran 😂, and now russia is recruiting armenians to fight for them in ukraine, while at the same time removing their so called ""peace keeper forces""",0,0,0,Yunus🇹🇷🇦🇿,
The Who last night performing at the Royal Albert Hall. This song ' Beads on One String' in support of Ukraine. Please retweet. https://t.co/A00l4qeUiH,0,0,0,Richard,"England, United Kingdom"
@kmacdonald828 @LabradorYuki how come that Ukraine is trying to take over Russia this war and we want peace and i mean this is no more wars and I hate wars are so stupid and this is very wrong and not allowed for this to happen to us citizens,0,0,-1,Michael Paris,
"@DiogenesLamp0 @Jigje1 @jacksonhinklle Nope you are the one lying. Nuland stated she is worried about the labs falling into Russian hands.

This lab in Odessa, Ukraine was funded by the US Department of Defence. 🙄 https://t.co/N8Au6DTP2u",0,0,0,Mr. Rogers Guillotine Emporium,Mr Rogers Neighborhood
"Vaia foder, Putin!
(Galician)

#PutinWarCrimes #Ukraine",0,0,0,Fuck Putin Bot - #StandWithUkraine 🇺🇦,
@TaxWaldemar @mfa_russia @natomission_ru @NATO @MFA_Ukraine @RusembUkraine @RusEmbUSA @StateDept @FranceEnRussie @GermanyDiplo @francediplo @SrebrenicaMC Which media or country published these photos and news or information? Please tell me the information source.,0,0,0,Elina_Qiao,The Earth
"With the unexpected turn of events in Ukraine for the USA, Biden and Victoria Nuland now must feel a bit silly, like King Nebuchadnezzar after throwing Shadrach, Meshach and Abednego into a fiery furnace without the expected result.",0,0,-1,Dimitris Mita,
@KatzOnEarth You don't understand why Zelenskyy would highlight that a NATO member is not loyal to clear strategic goals of NATO?   Especially when he wants to join NATO?  Making the neutral position of Hungary clear is in Ukraine's interest -regardless of if material support is forthcoming.,0,0,1,YooHoo,
This Thursday do pop into @fleecekendal and help support our #Ukraine fundraising event over tea and cake. https://t.co/5pi9lr2nfh,1,0,0,Westmorland Homecare,Cumbria & Lancashire
"@KyivIndependent Ukraine needs artillery to counterattack russians with ""grozny doctrine""...",0,0,0,Dr. Franklin Kantos,
@stevenjfrisch @carlbildt @rulajebreal Also return the Nukes Ukraine gave away.,0,0,0,🤡💩,
"Hey @KremlinRussia …they are coming for you #Putina …the ghost of Beria haunts you!!

#Ukraine",0,0,0,GOPISACULT,
"@kruger_gene @StormBringersCo Ooo wait before you go let me link Roger Stones's bio and hidden work in Ukraine to your name. 
Thanks for helping! 
https://t.co/K7efSYpFrW",0,0,1,Roger Stone Wants To Set Me On Fire,
Republicans are backing Ukraine in the war. So why is there support for Russia on America's far right? #SmartNews  https://t.co/2Fr4wffgjf,0,0,1,Valerie,"Detroit, USA"
Seeing the support for Ukraine in Cleveland’s cultural gardens 💙💛,0,0,1,eeeevvaaaa,
Reports from a Ukrainian journalist that a colonel of the 37th separate guards motor rifle brigade was run over by a tank..had died of his injuries “killed by his own troops” as “a consequence of the scale of losses that had been taken by his brigade”. https://t.co/xX1vRhtzCq,0,0,1,Tom. #JoeKnowsHowToPresident! 🇺🇸🇺🇦🇺🇸🇺🇦,"Spokane, WA"
"#mariupol #ukraine 
https://t.co/N0DILQbHFr",0,0,0,cinemaimaginaire,France
